build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,5,361,0,0,1,1,7,9,0,0,6,1,0,0.065789474,0.039473684,0.333333333,0.6,1,0,3,0,2,6.893652551,0,0,0,0,2,2,9,2.200444,0,0,0,118,64,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,2,62,0,0,0,0,4,4,0,0,3,0,1,0.064935065,0.038961039,0.3,0.6,1,0,4,0,1,6.457307687,0,0,0,0,1,1,10,0.77533245,0,0,0,118,65,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,4,117,0,0,0,0,4,4,0,0,3,0,1,0.064102564,0.038461538,0.272727273,0.6,1,0,4,0,1,6.793909066,0,0,0,0,1,2,11,1.0981951,0,0,0,118,66,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.075949367,0.037974684,0.041666667,0.2,1,1,4,2,1,5.271987283,0,1,0,0,1,1,24,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.0375,0.333333333,0.6,1,0,4,3,0,3.548969741,0,0,0,1,0,0,12,0,0,0,0,118,65,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,1,0,0,2,0,0,1,2,0,0,0.086419753,0.037037037,0.04,0.2,1,1,4,7,2,5.983783096,0,0,0,0,2,2,25,0.5586294,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,1,0.085365854,0.036585366,0.038461538,0.2,1,0,4,2,1,5.422306479,0,1,0,0,1,1,26,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,29,0,0,0,0,2,1,0,1,2,0,0,0.084337349,0.036144578,0.384615385,0.6,1,0,4,1,2,4.467376892,0,0,0,0,2,2,13,0.71067685,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,352,0,0,0,0,3,2,0,1,2,0,0,0.083333333,0.035714286,0,0,1,0,4,1,2,9.604212328,0,0,0,0,1,2,9,0.73581916,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,3,0,0,0,0,1,1,0,0,1,0,0,0.082352941,0.035294118,0.357142857,0.6,1,0,4,7,1,6.138158508,0,0,0,0,1,1,14,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,12,0,1,0,2,1,1,0,1,2,1,0,0.081395349,0.034883721,0.037037037,0.2,1,0,5,7,3,6.408806445,0,0,0,0,2,2,27,1.4784346,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
