build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,0,4,0,0,4,3,0,0,0.22027972,0.000699301,0.195238095,0,1,0,3,7,2,5.975495962,0,0,0,0,1,3,210,1.6965423,24,24,25,66,76,67,24,20,9,0,22,26,24,21,23,9,0,24,0,28,0,0,0,9,22,19,22,24
0,1,0,0,0,0,0,1,0,0,1,1,1,0,0.220125786,0.000698812,0.132231405,0.2,1,0,3,7,1,3.47552559,0,0,0,0,1,1,121,0,25,19,22,66,76,67,22,20,8,0,21,26,24,21,11,9,0,25,0,28,0,0,0,18,19,19,22,16
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.219972067,0.000698324,0.194312796,0,1,0,3,2,0,4.149051489,0,1,0,1,0,0,211,0,25,25,23,66,76,67,24,20,9,0,25,26,16,21,18,9,0,18,0,28,0,0,0,25,22,19,22,18
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.219818562,0.000697837,0.131147541,0.2,1,0,3,7,1,3.999496755,0,0,0,0,1,1,122,0,25,25,24,66,76,67,23,20,8,0,25,26,13,21,18,8,0,22,0,28,0,0,0,25,19,19,22,18
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.219665272,0.00069735,0.130081301,0.2,1,0,3,1,0,4.376133392,0,0,0,1,0,0,123,0,25,20,23,66,76,67,25,20,9,0,23,26,19,21,25,9,0,25,0,28,0,0,0,18,23,19,22,25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.219512195,0.000696864,0.12,0,1,0,3,3,0,4.197316052,0,0,0,1,0,0,25,0,22,22,25,66,76,67,22,20,7,0,19,26,15,21,13,7,0,24,0,28,0,0,0,19,18,19,22,23
0,2,0,0,0,0,2,1,0,0,3,1,0,1,0.219359331,0.000696379,0.115384615,0,1,0,3,0,2,6.357999725,0,1,0,0,1,3,26,0.928604,25,25,25,66,76,67,25,20,8,0,24,26,23,21,5,9,0,25,0,28,0,0,0,16,24,19,22,25
0,1,0,0,0,3,2,1,0,0,6,3,0,0,0.219206681,0.000695894,0.129032258,0.2,1,0,3,7,3,4.950157642,0,0,0,0,1,3,124,2.441961,24,22,25,66,76,67,23,20,8,0,24,26,19,21,18,8,0,24,0,28,0,0,0,22,20,19,22,18
0,1,0,0,0,2,1,4,0,0,7,2,0,1,0.219054242,0.00069541,0.128,0.2,1,0,3,7,3,6.079050422,0,0,0,0,1,2,125,1.9506683,24,21,25,66,76,67,24,20,9,0,21,26,24,21,24,9,0,24,0,28,0,0,0,21,21,19,22,24
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.218902015,0.000694927,0.126984127,0.2,1,0,3,7,1,6.248903295,0,0,0,0,1,1,126,0,25,15,25,66,76,67,25,20,9,0,19,26,20,21,17,9,0,24,0,28,0,0,0,3,15,19,22,17
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.21875,0.000694444,0.193396226,0,1,0,4,7,1,5.383898306,0,0,0,0,1,1,212,0,25,25,24,66,76,67,24,20,9,0,25,26,23,21,4,9,0,24,0,28,0,0,0,25,24,19,22,24
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.218598196,0.000693963,0.192488263,0,1,0,4,2,1,4.723072553,0,1,0,0,1,1,213,0,25,20,25,66,76,67,25,20,9,0,22,26,8,21,12,9,0,25,0,28,0,0,0,9,17,19,22,20
0,1,0,0,0,0,0,2,0,0,2,2,0,1,0.218446602,0.000693481,0.191588785,0,1,0,4,1,1,4.430418646,0,0,0,0,1,1,214,0.22853811,25,21,24,66,76,67,22,20,4,0,22,26,23,21,4,7,0,19,0,28,0,0,0,15,21,19,22,13
1,1,0,0,0,0,0,2,0,0,2,1,0,0,0.218295218,0.000693001,0.125984252,0.2,1,0,4,4,1,5.473067174,0,0,0,0,1,2,127,0.6292492,25,24,24,66,76,67,25,20,7,0,22,26,21,21,6,9,0,24,0,28,0,0,0,11,22,19,22,24
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.218836565,0.000692521,0.1328125,0.2,1,1,4,7,1,6.65301482,0,0,0,0,1,1,128,0,25,25,21,66,76,67,25,20,8,0,25,26,22,21,23,8,0,23,0,28,0,0,0,13,25,19,22,23
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.218533887,0.000691563,0.198347107,0,1,0,4,2,0,4.452718032,0,1,0,1,0,0,121,0,25,18,24,66,76,67,22,20,8,0,23,26,24,21,8,9,0,25,0,28,0,0,0,9,18,19,22,15
